product_id,location_id,period,units_sold,stock_on_hand,revenue
P001,LOC_MANCHESTER,2025-01-05,15,48,1349.85
P001,LOC_MANCHESTER,2025-01-12,18,58,1619.82
P001,LOC_MANCHESTER,2025-01-19,20,72,1799.8
P001,LOC_MANCHESTER,2025-01-26,2,3,179.98
P001,LOC_MANCHESTER,2025-02-02,2,3,179.98
P001,LOC_MANCHESTER,2025-02-09,11,64,989.89
P001,LOC_MANCHESTER,2025-02-16,5,19,449.95
P001,LOC_MANCHESTER,2025-02-23,5,11,449.95
P001,LOC_MANCHESTER,2025-03-02,9,46,809.91
P001,LOC_MANCHESTER,2025-03-09,7,15,629.93
P001,LOC_MANCHESTER,2025-03-16,6,10,539.94
P001,LOC_MANCHESTER,2025-03-23,12,40,1079.88
P001,LOC_MANCHESTER,2025-03-30,16,93,1439.84
P001,LOC_LONDON_OXFORD,2025-01-05,6,13,539.94
P001,LOC_LONDON_OXFORD,2025-01-12,10,53,899.9
P001,LOC_LONDON_OXFORD,2025-01-19,5,24,449.95
P001,LOC_LONDON_OXFORD,2025-01-26,9,33,809.91
P001,LOC_LONDON_OXFORD,2025-02-02,19,99,1709.81
P001,LOC_LONDON_OXFORD,2025-02-09,4,4,359.96
P001,LOC_LONDON_OXFORD,2025-02-16,12,27,1079.88
P001,LOC_LONDON_OXFORD,2025-02-23,18,98,1619.82
P001,LOC_LONDON_OXFORD,2025-03-02,16,54,1439.84
P001,LOC_LONDON_OXFORD,2025-03-09,18,63,1619.82
P001,LOC_LONDON_OXFORD,2025-03-16,19,130,1709.81
P001,LOC_LONDON_OXFORD,2025-03-23,8,43,719.92
P001,LOC_LONDON_OXFORD,2025-03-30,19,114,1709.81
P001,LOC_BIRMINGHAM,2025-01-05,22,110,1979.78
P001,LOC_BIRMINGHAM,2025-01-12,5,20,449.95
P001,LOC_BIRMINGHAM,2025-01-19,9,62,809.91
P001,LOC_BIRMINGHAM,2025-01-26,33,145,2969.67
P001,LOC_BIRMINGHAM,2025-02-02,22,95,1979.78
P001,LOC_BIRMINGHAM,2025-02-09,26,106,2339.74
P001,LOC_BIRMINGHAM,2025-02-16,29,112,2609.71
P001,LOC_BIRMINGHAM,2025-02-23,37,148,3329.63
P001,LOC_BIRMINGHAM,2025-03-02,28,103,2519.72
P001,LOC_BIRMINGHAM,2025-03-09,21,59,1889.79
P001,LOC_BIRMINGHAM,2025-03-16,25,115,2249.75
P001,LOC_BIRMINGHAM,2025-03-23,26,144,2339.74
P001,LOC_BIRMINGHAM,2025-03-30,18,73,1619.82
P001,LOC_EDINBURGH,2025-01-05,12,54,1079.88
P001,LOC_EDINBURGH,2025-01-12,24,137,2159.76
P001,LOC_EDINBURGH,2025-01-19,13,45,1169.87
P001,LOC_EDINBURGH,2025-01-26,15,45,1349.85
P001,LOC_EDINBURGH,2025-02-02,14,41,1259.86
P001,LOC_EDINBURGH,2025-02-09,19,83,1709.81
P001,LOC_EDINBURGH,2025-02-16,7,21,629.93
P001,LOC_EDINBURGH,2025-02-23,7,7,629.93
P001,LOC_EDINBURGH,2025-03-02,19,76,1709.81
P001,LOC_EDINBURGH,2025-03-09,21,21,1889.79
P001,LOC_EDINBURGH,2025-03-16,28,62,2519.72
P001,LOC_EDINBURGH,2025-03-23,18,46,1619.82
P001,LOC_EDINBURGH,2025-03-30,13,91,1169.87
P001,LOC_BRISTOL,2025-01-05,13,52,1169.87
P001,LOC_BRISTOL,2025-01-12,21,88,1889.79
P001,LOC_BRISTOL,2025-01-19,26,138,2339.74
P001,LOC_BRISTOL,2025-01-26,20,68,1799.8
P001,LOC_BRISTOL,2025-02-02,21,85,1889.79
P001,LOC_BRISTOL,2025-02-09,16,72,1439.84
P001,LOC_BRISTOL,2025-02-16,10,51,899.9
P001,LOC_BRISTOL,2025-02-23,8,31,719.92
